#(1+z) ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_median,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",median (1+z) ratio in the bin,"1sigma error of (1+z) ratio, lower end","1sigma error of (1+z) ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.11609,9.9,10.9,1.72878e+10,2.09643e+09,2.37835e+09,1.08273,0.0116196,0.00490476
5.11609,10,11,2.16176e+10,2.97988e+09,3.39182e+09,1.07835,0.0144807,0.00802334
5.11609,10.1,11.1,2.78075e+10,4.42432e+09,5.35307e+09,1.07088,0.0207332,0.0153114
5.11609,10.2,11.2,3.40611e+10,5.55474e+09,6.73982e+09,1.07073,0.0218161,0.00765572
5.11609,10.3,11.3,3.89734e+10,6.48531e+09,7.90346e+09,1.06346,0.0223524,0.0148966
5.11609,10.4,11.4,4.87017e+10,7.95817e+09,1.00297e+10,1.0411,0.0258865,0.0223524
5.11609,10.5,11.5,5.34785e+10,8.55598e+09,1.1028e+10,1.02866,0.0198225,0.0268578
5.11609,10.6,11.6,6.08756e+10,9.78061e+09,1.29184e+10,1.02464,0.0159379,0.0174357
5.11609,10.7,11.7,7.16087e+10,1.29063e+10,1.70381e+10,1.02062,0.0117861,0.00900418
5.11609,10.8,11.8,8.4832e+10,1.59605e+10,1.99331e+10,1.01472,0.0066672,0.0283205
5.11609,10.9,11.9,9.96605e+10,1.45051e+10,1.45051e+10,1.02555,0.0174939,0.0174939
5.11609,11,12,1.14166e+11,0,0,1.00806,0,0
5.11609,11.1,12.1,-9999,-9999,-9999,1,-9999,-9999
5.11609,11.2,12.2,-9999,-9999,-9999,1,-9999,-9999
5.11609,11.3,12.3,-9999,-9999,-9999,1,-9999,-9999
5.11609,11.4,12.4,-9999,-9999,-9999,1,-9999,-9999
5.11609,11.5,12.5,-9999,-9999,-9999,1,-9999,-9999
5.15604,7.5,8.5,8.74461e+07,599869,599902,1.08543,0.000605814,0.000458712
5.15604,7.6,8.6,1.08391e+08,821741,820927,1.08636,0.000530611,0.000619678
5.15604,7.7,8.7,1.35186e+08,1.12346e+06,1.13316e+06,1.08713,0.000475657,0.000622833
5.15604,7.8,8.8,1.69006e+08,1.56401e+06,1.56903e+06,1.08731,0.000462324,0.00059825
5.15604,7.9,8.9,2.1268e+08,2.16632e+06,2.17964e+06,1.08695,0.000530892,0.000454337
5.15604,8,9,2.65972e+08,2.98344e+06,3.0232e+06,1.08666,0.000460953,0.0004725
5.15604,8.1,9.1,3.32631e+08,4.12904e+06,4.1833e+06,1.08637,0.000451658,0.000507037
5.15604,8.2,9.2,4.15471e+08,5.71537e+06,5.76081e+06,1.08631,0.000498246,0.000483025
5.15604,8.3,9.3,5.19468e+08,7.92854e+06,8.01097e+06,1.08638,0.000506911,0.000526565
5.15604,8.4,9.4,6.47635e+08,1.10935e+07,1.11409e+07,1.0866,0.000520039,0.000482339
5.15604,8.5,9.5,8.03394e+08,1.52791e+07,1.56723e+07,1.08681,0.000535535,0.00046684
5.15604,8.6,9.6,1.02345e+09,2.2123e+07,2.2923e+07,1.08681,0.000506261,0.000471185
5.15604,8.7,9.7,1.25939e+09,3.02129e+07,3.10129e+07,1.08662,0.000541209,0.000488164
5.15604,8.8,9.8,1.55115e+09,4.1172e+07,4.16245e+07,1.08679,0.00064689,0.000491854
5.15604,8.9,9.9,1.92581e+09,5.67215e+07,5.7741e+07,1.08692,0.000673445,0.00048077
5.15604,9,10,2.41678e+09,8.1253e+07,8.44424e+07,1.08709,0.000686126,0.000488278
5.15604,9.1,10.1,3.02264e+09,1.1773e+08,1.21651e+08,1.08707,0.000689441,0.000488371
5.15604,9.2,10.2,3.70576e+09,1.6025e+08,1.66279e+08,1.08712,0.000546076,0.000826029
5.15604,9.3,10.3,4.52635e+09,2.15314e+08,2.2843e+08,1.08707,0.000865437,0.000715342
5.15604,9.4,10.4,5.57794e+09,3.11455e+08,3.3044e+08,1.08706,0.00128287,0.000810959
5.15604,9.5,10.5,6.74701e+09,4.30033e+08,4.61677e+08,1.08707,0.00139548,0.000972423
5.15604,9.6,10.6,8.84531e+09,6.65176e+08,7.26105e+08,1.08707,0.00212795,0.00137061
5.15604,9.7,10.7,1.12186e+10,1.02314e+09,1.14785e+09,1.08597,0.00413776,0.00210533
5.15604,9.8,10.8,1.41501e+10,1.53255e+09,1.70978e+09,1.08516,0.00779681,0.00260232
5.15604,9.9,10.9,1.69093e+10,2.03718e+09,2.3237e+09,1.0834,0.0119098,0.00378002
5.15604,10,11,2.13875e+10,2.92354e+09,3.35002e+09,1.07213,0.0078926,0.0156281
5.15604,10.1,11.1,2.84534e+10,4.54497e+09,5.4448e+09,1.06458,0.0158894,0.0165833
5.15604,10.2,11.2,3.4122e+10,5.57584e+09,6.69e+09,1.06454,0.015853,0.0150296
5.15604,10.3,11.3,3.86771e+10,6.42617e+09,7.7866e+09,1.06046,0.0304,0.0187247
5.15604,10.4,11.4,4.74751e+10,7.6449e+09,9.60747e+09,1.0367,0.0279567,0.0278369
5.15604,10.5,11.5,5.34594e+10,8.30019e+09,1.08194e+10,1.01821,0.0156444,0.0304819
5.15604,10.6,11.6,5.92422e+10,9.33327e+09,1.24648e+10,1.01821,0.0158223,0.02449
5.15604,10.7,11.7,6.92905e+10,1.25299e+10,1.66343e+10,1.01405,0.0114901,0.00937106
5.15604,10.8,11.8,8.9125e+10,1.53271e+10,2.17006e+10,1.01405,0.0123566,0.0226523
5.15604,10.9,11.9,9.67885e+10,1.40371e+10,1.40371e+10,1.0192,0.0175045,0.0175045
5.15604,11,12,1.10826e+11,0,0,1.0017,0,0
5.15604,11.1,12.1,-9999,-9999,-9999,1,-9999,-9999
5.15604,11.2,12.2,-9999,-9999,-9999,1,-9999,-9999
5.15604,11.3,12.3,-9999,-9999,-9999,1,-9999,-9999
5.15604,11.4,12.4,-9999,-9999,-9999,1,-9999,-9999
5.15604,11.5,12.5,-9999,-9999,-9999,1,-9999,-9999
5.19665,7.5,8.5,8.72988e+07,598178,601056,1.0862,0.000589184,0.000425221
5.19665,7.6,8.6,1.08375e+08,821158,827791,1.08695,0.000405202,0.000491366
5.19665,7.7,8.7,1.34969e+08,1.1241e+06,1.14049e+06,1.08749,0.000454202,0.000493385
5.19665,7.8,8.8,1.69107e+08,1.56113e+06,1.56652e+06,1.08731,0.000437099,0.000530912
5.19665,7.9,8.9,2.12551e+08,2.16678e+06,2.19905e+06,1.08714,0.000509835,0.000400232
5.19665,8,9,2.65099e+08,2.98322e+06,3.02148e+06,1.08697,0.000540089,0.000418841
5.19665,8.1,9.1,3.32508e+08,4.17125e+06,4.16443e+06,1.08663,0.000530263,0.00046934
5.19665,8.2,9.2,4.15209e+08,5.72688e+06,5.76998e+06,1.08634,0.000548489,0.000616011
5.19665,8.3,9.3,5.18133e+08,7.96312e+06,8.02317e+06,1.08644,0.000542439,0.000584036
5.19665,8.4,9.4,6.46332e+08,1.10119e+07,1.12558e+07,1.08671,0.00060533,0.000460661
5.19665,8.5,9.5,8.01042e+08,1.53336e+07,1.54748e+07,1.08702,0.000586316,0.000428942
5.19665,8.6,9.6,1.01617e+09,2.21275e+07,2.25795e+07,1.08698,0.000649584,0.000423695
5.19665,8.7,9.7,1.25487e+09,3.02187e+07,3.06661e+07,1.0869,0.000698448,0.000504449
5.19665,8.8,9.8,1.54384e+09,4.06744e+07,4.1524e+07,1.08723,0.000701807,0.000598206
5.19665,8.9,9.9,1.9254e+09,5.75612e+07,5.87976e+07,1.08726,0.000757815,0.000641978
5.19665,9,10,2.38927e+09,8.07556e+07,8.36663e+07,1.08743,0.000834125,0.000590212
5.19665,9.1,10.1,2.98891e+09,1.15827e+08,1.20912e+08,1.0875,0.000860046,0.000616553
5.19665,9.2,10.2,3.66816e+09,1.58335e+08,1.63742e+08,1.08789,0.00107745,0.000591888
5.19665,9.3,10.3,4.48129e+09,2.16115e+08,2.28877e+08,1.08758,0.00131876,0.000715647
5.19665,9.4,10.4,5.55021e+09,3.15935e+08,3.35744e+08,1.08758,0.00185344,0.000886164
5.19665,9.5,10.5,6.71e+09,4.32118e+08,4.59577e+08,1.08801,0.00220766,0.000925628
5.19665,9.6,10.6,8.72104e+09,6.59035e+08,7.18545e+08,1.08802,0.00262267,0.000977325
5.19665,9.7,10.7,1.16206e+10,1.13645e+09,1.28163e+09,1.08725,0.00401647,0.00132779
5.19665,9.8,10.8,1.39652e+10,1.51805e+09,1.718e+09,1.08553,0.00546547,0.00308782
5.19665,9.9,10.9,1.69973e+10,2.06404e+09,2.37806e+09,1.08342,0.011384,0.00478499
5.19665,10,11,2.12734e+10,2.89856e+09,3.33967e+09,1.08424,0.0195382,0.00428888
5.19665,10.1,11.1,2.80468e+10,4.46523e+09,5.33744e+09,1.0743,0.0166348,0.0143678
5.19665,10.2,11.2,3.32736e+10,5.41232e+09,6.42861e+09,1.0727,0.022808,0.0154773
5.19665,10.3,11.3,3.82922e+10,6.29411e+09,7.63855e+09,1.05794,0.0161,0.0300953
5.19665,10.4,11.4,4.73005e+10,7.45066e+09,9.55789e+09,1.04254,0.0258484,0.0259969
5.19665,10.5,11.5,5.19615e+10,7.96806e+09,1.04448e+10,1.03617,0.0287314,0.0217689
5.19665,10.6,11.6,5.74849e+10,8.9396e+09,1.20793e+10,1.03617,0.0243777,0.0173103
5.19665,10.7,11.7,7.45244e+10,1.44697e+10,1.79511e+10,1.0305,0.0230624,0.0422021
5.19665,10.8,11.8,8.65546e+10,1.40504e+10,2.1053e+10,1.0305,0.0230624,0.0120863
5.19665,10.9,11.9,9.35798e+10,1.40278e+10,1.40278e+10,1.03654,0.00604317,0.00604317
5.19665,11,12,1.07608e+11,0,0,1.04258,0,0
5.19665,11.1,12.1,-9999,-9999,-9999,1,-9999,-9999
5.19665,11.2,12.2,-9999,-9999,-9999,1,-9999,-9999
5.19665,11.3,12.3,-9999,-9999,-9999,1,-9999,-9999
5.19665,11.4,12.4,-9999,-9999,-9999,1,-9999,-9999
5.19665,11.5,12.5,-9999,-9999,-9999,1,-9999,-9999
5.23792,7.5,8.5,8.72055e+07,595415,604478,1.08634,0.000579837,0.00061014
5.23792,7.6,8.6,1.08401e+08,823680,821994,1.08722,0.000538474,0.000496432
5.23792,7.7,8.7,1.34779e+08,1.12916e+06,1.12482e+06,1.08775,0.000525165,0.00051125
5.23792,7.8,8.8,1.69315e+08,1.56642e+06,1.57881e+06,1.08758,0.00046702,0.000504314
5.23792,7.9,8.9,2.12154e+08,2.16226e+06,2.19205e+06,1.08734,0.000486295,0.000450958
5.23792,8,9,2.65035e+08,3.01526e+06,3.04565e+06,1.08704,0.000557928,0.000538419
5.23792,8.1,9.1,3.31866e+08,4.1499e+06,4.22461e+06,1.08662,0.000546008,0.000528822
5.23792,8.2,9.2,4.13871e+08,5.69561e+06,5.75796e+06,1.08632,0.000621571,0.000585578
5.23792,8.3,9.3,5.17303e+08,7.94451e+06,7.9811e+06,1.08661,0.00066648,0.000501489
5.23792,8.4,9.4,6.45733e+08,1.10423e+07,1.12259e+07,1.08667,0.000685713,0.000492845
5.23792,8.5,9.5,8.01819e+08,1.54548e+07,1.56493e+07,1.08696,0.00063514,0.000427429
5.23792,8.6,9.6,1.01547e+09,2.21699e+07,2.25443e+07,1.08707,0.000565096,0.000437122
5.23792,8.7,9.7,1.24651e+09,2.97801e+07,3.06464e+07,1.08702,0.00067539,0.00050937
5.23792,8.8,9.8,1.54997e+09,4.13368e+07,4.26398e+07,1.08709,0.000752016,0.000624762
5.23792,8.9,9.9,1.92063e+09,5.7599e+07,5.93751e+07,1.0872,0.00085303,0.000755538
5.23792,9,10,2.38623e+09,8.08606e+07,8.3342e+07,1.08746,0.000893608,0.000742606
5.23792,9.1,10.1,2.97232e+09,1.1519e+08,1.18937e+08,1.08753,0.000971881,0.000909594
5.23792,9.2,10.2,3.63305e+09,1.57684e+08,1.64973e+08,1.0879,0.000959976,0.000741767
5.23792,9.3,10.3,4.43117e+09,2.16586e+08,2.2637e+08,1.08781,0.00125559,0.00107521
5.23792,9.4,10.4,5.47604e+09,3.11041e+08,3.34023e+08,1.08788,0.00137882,0.00116696
