#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.07678,8.9,9.9,1.96104e+09,5.20689e+07,5.28964e+07,0.618351,0.00546954,0.00545518
5.07678,9,10,2.44389e+09,7.22355e+07,7.46528e+07,0.620468,0.00619733,0.00624521
5.07678,9.1,10.1,3.11206e+09,1.06231e+08,1.10127e+08,0.622972,0.00716779,0.00713777
5.07678,9.2,10.2,3.79532e+09,1.4351e+08,1.48309e+08,0.625299,0.00815578,0.00808636
5.07678,9.3,10.3,4.68966e+09,1.96033e+08,2.08223e+08,0.626661,0.00936436,0.00932574
5.07678,9.4,10.4,5.7447e+09,2.7898e+08,2.95118e+08,0.631139,0.0105585,0.0105613
5.07678,9.5,10.5,7.10493e+09,3.94305e+08,4.18064e+08,0.635527,0.0123633,0.0123253
5.07678,9.6,10.6,8.85558e+09,5.77577e+08,6.22127e+08,0.633697,0.0145567,0.0145025
5.07678,9.7,10.7,1.11411e+10,8.37863e+08,9.11284e+08,0.637739,0.0184425,0.0183423
5.07678,9.8,10.8,1.44352e+10,1.3116e+09,1.43696e+09,0.651183,0.0216945,0.0217327
5.07678,9.9,10.9,1.72682e+10,1.70181e+09,1.90158e+09,0.666161,0.0249134,0.0246635
5.07678,10,11,2.11304e+10,2.398e+09,2.70432e+09,0.658047,0.0271966,0.0268848
5.07678,10.1,11.1,2.79519e+10,3.70893e+09,4.41496e+09,0.663203,0.0340994,0.0327672
5.07678,10.2,11.2,3.64116e+10,5.97649e+09,7.2281e+09,0.657327,0.040976,0.0391359
5.07678,10.3,11.3,4.25708e+10,7.18956e+09,8.89883e+09,0.67663,0.0435672,0.042053
5.07678,10.4,11.4,5.07432e+10,9.14249e+09,1.10785e+10,0.674352,0.0522696,0.0500753
5.07678,10.5,11.5,6.04107e+10,1.10174e+10,1.37402e+10,0.699575,0.0575832,0.0553929
5.11609,7.5,8.5,8.89536e+07,540978,536880,0.563846,0.0015476,0.00154192
5.11609,7.6,8.6,1.09313e+08,722468,732254,0.566842,0.00160593,0.00160992
