#mass ratio in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.07678,10,11,2.11079e+10,2.37352e+09,2.68765e+09,0.773175,0.0269294,0.0260651
5.07678,10.1,11.1,2.78521e+10,3.67994e+09,4.34314e+09,0.77121,0.0326711,0.031347
5.07678,10.2,11.2,3.60979e+10,5.86686e+09,7.1334e+09,0.75444,0.0392411,0.0377253
5.07678,10.3,11.3,4.25627e+10,7.20414e+09,8.89824e+09,0.761706,0.0446433,0.0427667
5.07678,10.4,11.4,5.07259e+10,9.01965e+09,1.11658e+10,0.749668,0.054462,0.0515798
5.07678,10.5,11.5,6.04034e+10,1.10121e+10,1.36442e+10,0.76557,0.0626337,0.0580608
5.11609,7.5,8.5,8.85356e+07,537457,534592,0.751176,0.00178851,0.00178002
5.11609,7.6,8.6,1.09224e+08,729081,729174,0.758768,0.00185236,0.00185347
5.11609,7.7,8.7,1.34233e+08,978388,983172,0.765137,0.00193206,0.00192876
5.11609,7.8,8.8,1.68129e+08,1.36832e+06,1.36135e+06,0.772356,0.00206974,0.00205893
5.11609,7.9,8.9,2.11893e+08,1.90772e+06,1.91754e+06,0.778416,0.00223786,0.00222852
5.11609,8,9,2.65372e+08,2.64663e+06,2.67153e+06,0.783561,0.00243753,0.00240907
5.11609,8.1,9.1,3.32663e+08,3.69578e+06,3.71661e+06,0.787965,0.00264194,0.00265095
5.11609,8.2,9.2,4.13968e+08,5.04852e+06,5.08583e+06,0.790642,0.00287787,0.00287485
5.11609,8.3,9.3,5.19994e+08,7.09185e+06,7.14942e+06,0.793661,0.00315741,0.00318103
5.11609,8.4,9.4,6.49036e+08,9.76066e+06,9.89139e+06,0.795306,0.00351951,0.00350916
5.11609,8.5,9.5,8.13147e+08,1.38866e+07,1.40228e+07,0.797732,0.0038756,0.00382994
5.11609,8.6,9.6,1.01533e+09,1.94215e+07,1.96628e+07,0.798182,0.00424897,0.00423167
5.11609,8.7,9.7,1.2609e+09,2.66965e+07,2.73905e+07,0.799753,0.00471177,0.00463157
5.11609,8.8,9.8,1.58443e+09,3.80124e+07,3.85128e+07,0.800365,0.00513405,0.00513776
5.11609,8.9,9.9,1.96445e+09,5.19246e+07,5.30983e+07,0.798367,0.00581576,0.00576391
5.11609,9,10,2.44058e+09,7.10955e+07,7.38087e+07,0.798726,0.00655962,0.00647817
5.11609,9.1,10.1,3.12345e+09,1.07012e+08,1.11077e+08,0.795099,0.00750105,0.00740645
5.11609,9.2,10.2,3.81435e+09,1.44932e+08,1.50023e+08,0.795516,0.00845568,0.00837629
5.11609,9.3,10.3,4.69747e+09,1.98407e+08,2.08054e+08,0.790753,0.00982785,0.00978134
5.11609,9.4,10.4,5.74432e+09,2.80414e+08,2.95038e+08,0.790323,0.0109539,0.0109557
5.11609,9.5,10.5,7.06479e+09,3.85727e+08,4.10725e+08,0.787898,0.0127364,0.0126346
5.11609,9.6,10.6,8.90032e+09,5.80802e+08,6.24497e+08,0.780342,0.0147094,0.0143696
5.11609,9.7,10.7,1.13522e+10,8.82288e+08,9.65398e+08,0.772065,0.0179487,0.0178598
5.11609,9.8,10.8,1.44205e+10,1.28509e+09,1.41898e+09,0.773638,0.0216728,0.0214943
5.11609,9.9,10.9,1.74109e+10,1.78986e+09,1.97823e+09,0.779608,0.0252193,0.0251044
5.11609,10,11,2.06701e+10,2.31626e+09,2.6149e+09,0.766562,0.0275386,0.0265268
5.11609,10.1,11.1,2.94112e+10,4.19691e+09,5.0053e+09,0.759261,0.0334078,0.0324041
5.11609,10.2,11.2,3.63489e+10,5.90621e+09,7.18823e+09,0.754269,0.0387304,0.0371063
5.11609,10.3,11.3,4.22255e+10,7.13641e+09,8.79669e+09,0.760593,0.0442113,0.0420693
5.11609,10.4,11.4,5.04511e+10,8.98627e+09,1.10656e+10,0.752901,0.0527611,0.0496713
5.11609,10.5,11.5,5.80227e+10,1.04663e+10,1.31139e+10,0.765236,0.0592467,0.0556014
5.15604,7.5,8.5,8.8314e+07,530172,535794,0.749897,0.00179218,0.00177144
5.15604,7.6,8.6,1.09178e+08,718411,732466,0.757581,0.00185136,0.00185554
5.15604,7.7,8.7,1.34002e+08,976893,985840,0.764016,0.00193938,0.00195716
5.15604,7.8,8.8,1.67866e+08,1.36485e+06,1.37349e+06,0.770934,0.00206818,0.00208165
5.15604,7.9,8.9,2.11897e+08,1.8894e+06,1.92705e+06,0.777268,0.00222632,0.00225373
5.15604,8,9,2.65085e+08,2.63448e+06,2.67221e+06,0.782317,0.00245857,0.00243347
5.15604,8.1,9.1,3.32149e+08,3.68852e+06,3.67829e+06,0.786918,0.0026661,0.00265411
5.15604,8.2,9.2,4.13046e+08,5.07965e+06,5.11144e+06,0.788859,0.00289628,0.00288927
5.15604,8.3,9.3,5.19415e+08,7.09836e+06,7.11104e+06,0.792467,0.00319954,0.00321944
5.15604,8.4,9.4,6.49023e+08,9.81425e+06,9.91315e+06,0.794061,0.00351001,0.00349295
5.15604,8.5,9.5,8.09476e+08,1.37173e+07,1.3907e+07,0.795958,0.00386908,0.00386638
5.15604,8.6,9.6,1.01029e+09,1.91808e+07,1.95281e+07,0.797566,0.00434252,0.00428376
5.15604,8.7,9.7,1.25602e+09,2.68193e+07,2.75485e+07,0.800074,0.00466577,0.00468566
5.15604,8.8,9.8,1.57678e+09,3.78588e+07,3.85333e+07,0.800421,0.00522047,0.00518132
5.15604,8.9,9.9,1.96134e+09,5.26726e+07,5.35509e+07,0.797667,0.00584174,0.00579344
5.15604,9,10,2.44636e+09,7.29375e+07,7.57282e+07,0.797878,0.00660294,0.00656132
5.15604,9.1,10.1,3.10266e+09,1.06554e+08,1.10061e+08,0.793992,0.0075433,0.00743187
5.15604,9.2,10.2,3.77904e+09,1.44181e+08,1.494e+08,0.794984,0.00858805,0.00847786
5.15604,9.3,10.3,4.62587e+09,1.93935e+08,2.02271e+08,0.791123,0.00972724,0.00969557
5.15604,9.4,10.4,5.72031e+09,2.82444e+08,2.98796e+08,0.787863,0.0112125,0.0111947
5.15604,9.5,10.5,7.08921e+09,3.98038e+08,4.20089e+08,0.785645,0.013003,0.0130006
5.15604,9.6,10.6,8.7531e+09,5.73706e+08,6.1704e+08,0.774998,0.014682,0.0145229
5.15604,9.7,10.7,1.12805e+10,8.80568e+08,9.58309e+08,0.767895,0.0181263,0.0179868
5.15604,9.8,10.8,1.41277e+10,1.26275e+09,1.39439e+09,0.769574,0.0217153,0.0214164
5.15604,9.9,10.9,1.7346e+10,1.78194e+09,2.00239e+09,0.777164,0.0255491,0.0253588
5.15604,10,11,2.08202e+10,2.36578e+09,2.68813e+09,0.768245,0.0283478,0.027587
5.15604,10.1,11.1,2.90049e+10,4.11785e+09,4.90999e+09,0.754828,0.0341976,0.0329124
5.15604,10.2,11.2,3.57604e+10,5.76212e+09,7.05364e+09,0.747265,0.0400567,0.038156
5.15604,10.3,11.3,4.11796e+10,6.91074e+09,8.50239e+09,0.75506,0.0447983,0.0420935
5.15604,10.4,11.4,4.98159e+10,8.97885e+09,1.08574e+10,0.760609,0.0498811,0.0463173
5.15604,10.5,11.5,5.87063e+10,1.06909e+10,1.33542e+10,0.787459,0.0472415,0.0470316
5.19665,7.5,8.5,8.83234e+07,534753,536995,0.749297,0.00177641,0.00179389
5.19665,7.6,8.6,1.0915e+08,734250,734920,0.756516,0.0018691,0.00187416
5.19665,7.7,8.7,1.34108e+08,989062,993935,0.762916,0.00195554,0.00193759
5.19665,7.8,8.8,1.67977e+08,1.3682e+06,1.38763e+06,0.769455,0.00207985,0.00206602
5.19665,7.9,8.9,2.11752e+08,1.92101e+06,1.93386e+06,0.775834,0.00224445,0.00225071
5.19665,8,9,2.65265e+08,2.64451e+06,2.6774e+06,0.780504,0.00242724,0.00241536
