#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.11609,8.6,9.6,1.01526e+09,1.9202e+07,1.96404e+07,0.856255,0.00153711,0.00151195
5.11609,8.7,9.7,1.2609e+09,2.67441e+07,2.72257e+07,0.866012,0.00153189,0.00150481
5.11609,8.8,9.8,1.58451e+09,3.77966e+07,3.8531e+07,0.8746,0.00159999,0.00157936
5.11609,8.9,9.9,1.9647e+09,5.15526e+07,5.26802e+07,0.880898,0.00166433,0.00166605
5.11609,9,10,2.44048e+09,7.17056e+07,7.42171e+07,0.885828,0.0017777,0.00177425
5.11609,9.1,10.1,3.1235e+09,1.07175e+08,1.11216e+08,0.88919,0.00190027,0.00192157
5.11609,9.2,10.2,3.81508e+09,1.45717e+08,1.5037e+08,0.891865,0.00206966,0.0020437
5.11609,9.3,10.3,4.6972e+09,1.98976e+08,2.07474e+08,0.894427,0.00229869,0.00231278
5.11609,9.4,10.4,5.74428e+09,2.81502e+08,2.92918e+08,0.894638,0.00250861,0.0025192
5.11609,9.5,10.5,7.06553e+09,3.86971e+08,4.09843e+08,0.894833,0.00270953,0.0027545
5.11609,9.6,10.6,8.90118e+09,5.83552e+08,6.23098e+08,0.895793,0.00310649,0.00315649
5.11609,9.7,10.7,1.13522e+10,8.79958e+08,9.66946e+08,0.895589,0.00348503,0.00353047
5.11609,9.8,10.8,1.44248e+10,1.29385e+09,1.4147e+09,0.895139,0.00390097,0.00393744
5.11609,9.9,10.9,1.74176e+10,1.78881e+09,1.97688e+09,0.896156,0.00447359,0.00459844
5.11609,10,11,2.06607e+10,2.30196e+09,2.60831e+09,0.89641,0.0049265,0.00494836
5.11609,10.1,11.1,2.94017e+10,4.21801e+09,4.98702e+09,0.894716,0.00648285,0.00666918
5.11609,10.2,11.2,3.63625e+10,5.88114e+09,7.1772e+09,0.896865,0.00749699,0.00781004
5.11609,10.3,11.3,4.22206e+10,7.06445e+09,8.84357e+09,0.892139,0.00750994,0.00746707
5.11609,10.4,11.4,5.04337e+10,9.03662e+09,1.11062e+10,0.895487,0.00888509,0.0087168
5.11609,10.5,11.5,5.80736e+10,1.05221e+10,1.31872e+10,0.894265,0.00946816,0.0094595
5.15604,7.5,8.5,8.83181e+07,533810,533669,0.563918,0.00128455,0.00126415
5.15604,7.6,8.6,1.09179e+08,725689,727966,0.598492,0.00135218,0.0013566
5.15604,7.7,8.7,1.34e+08,975571,985223,0.632957,0.00141363,0.00140733
5.15604,7.8,8.8,1.67861e+08,1.36728e+06,1.37178e+06,0.669543,0.00146785,0.00145915
5.15604,7.9,8.9,2.11906e+08,1.89541e+06,1.92148e+06,0.705431,0.00149406,0.0015057
