#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
7.14477,8.3,9.3,4.88951e+08,8.1017e+06,8.21863e+06,0.807942,0.00164511,0.00163062
7.14477,8.4,9.4,6.14681e+08,1.15649e+07,1.17614e+07,0.824943,0.00168602,0.00167079
7.14477,8.5,9.5,7.64096e+08,1.62379e+07,1.64604e+07,0.838239,0.00176762,0.00176995
7.14477,8.6,9.6,9.55619e+08,2.28932e+07,2.3641e+07,0.850579,0.0018351,0.00180163
7.14477,8.7,9.7,1.18537e+09,3.20777e+07,3.30782e+07,0.860095,0.00189178,0.00189358
7.14477,8.8,9.8,1.4541e+09,4.35569e+07,4.47784e+07,0.867367,0.00201101,0.00201586
7.14477,8.9,9.9,1.79715e+09,6.14231e+07,6.39515e+07,0.872679,0.0022085,0.00222118
7.14477,9,10,2.17057e+09,8.70745e+07,9.06706e+07,0.876219,0.00236361,0.00234565
7.14477,9.1,10.1,2.66333e+09,1.17912e+08,1.25455e+08,0.880005,0.00269054,0.00268816
7.14477,9.2,10.2,3.3406e+09,1.79973e+08,1.93854e+08,0.883669,0.00308145,0.00304111
7.14477,9.3,10.3,4.10429e+09,2.62986e+08,2.88255e+08,0.886133,0.00325681,0.00324646
7.14477,9.4,10.4,5.1901e+09,3.91262e+08,4.27087e+08,0.888716,0.00383562,0.00385168
7.14477,9.5,10.5,6.38278e+09,5.58231e+08,6.24048e+08,0.889592,0.00414923,0.00413032
7.14477,9.6,10.6,8.41501e+09,9.34439e+08,1.08829e+09,0.890289,0.00492727,0.00493308
7.14477,9.7,10.7,1.03914e+10,1.23387e+09,1.44774e+09,0.890511,0.00544492,0.00544804
7.14477,9.8,10.8,1.26958e+10,1.76838e+09,2.15131e+09,0.890848,0.00641178,0.00644392
7.14477,9.9,10.9,1.55373e+10,2.33868e+09,2.84094e+09,0.888383,0.00822941,0.00841107
7.14477,10,11,2.14813e+10,4.40458e+09,6.14836e+09,0.886866,0.0104602,0.0102808
7.14477,10.1,11.1,2.39221e+10,5.04646e+09,7.22739e+09,0.887942,0.011748,0.0109924
7.14477,10.2,11.2,3.36911e+10,1.04633e+10,1.50912e+10,0.88647,0.0146062,0.0132134
7.14477,10.3,11.3,4.42495e+10,1.5063e+10,2.15621e+10,0.890639,0.0136615,0.014549
7.14477,10.4,11.4,5.28703e+10,1.87422e+10,2.58074e+10,0.88459,0.0151202,0.0185669
7.14477,10.5,11.5,6.13946e+10,2.32676e+10,3.05776e+10,0.890178,0.0200866,0.0216988
7.22663,7.5,8.5,8.57076e+07,592835,599035,0.583649,0.0012656,0.00126101
7.22663,7.6,8.6,1.05764e+08,809397,799400,0.613752,0.00135156,0.00134974
7.22663,7.7,8.7,1.30263e+08,1.10725e+06,1.09947e+06,0.644862,0.00142028,0.00143508
7.22663,7.8,8.8,1.62241e+08,1.52563e+06,1.54186e+06,0.678332,0.00148982,0.00148353
7.22663,7.9,8.9,2.0275e+08,2.12479e+06,2.13563e+06,0.710844,0.00154159,0.00153644
7.22663,8,9,2.50408e+08,2.95444e+06,2.95863e+06,0.738624,0.00159896,0.00158355
7.22663,8.1,9.1,3.13307e+08,4.16714e+06,4.23664e+06,0.765202,0.00160134,0.00160241
7.22663,8.2,9.2,3.91112e+08,5.85974e+06,5.93335e+06,0.787902,0.00163083,0.00163898
7.22663,8.3,9.3,4.87587e+08,8.12381e+06,8.36834e+06,0.8076,0.00168558,0.00167552
7.22663,8.4,9.4,6.12284e+08,1.16337e+07,1.18098e+07,0.824653,0.00171529,0.00172255
7.22663,8.5,9.5,7.63359e+08,1.64426e+07,1.68351e+07,0.838248,0.00180849,0.00179735
7.22663,8.6,9.6,9.56554e+08,2.33058e+07,2.39008e+07,0.850861,0.00181869,0.00183234
7.22663,8.7,9.7,1.18862e+09,3.26667e+07,3.35484e+07,0.860383,0.00193118,0.00192388
7.22663,8.8,9.8,1.4567e+09,4.42578e+07,4.5949e+07,0.867379,0.0020348,0.00204835
7.22663,8.9,9.9,1.77571e+09,6.10287e+07,6.37261e+07,0.872484,0.0022443,0.00221786
7.22663,9,10,2.16218e+09,8.59812e+07,9.13032e+07,0.876282,0.00243109,0.00241347
7.22663,9.1,10.1,2.64692e+09,1.20866e+08,1.27681e+08,0.880585,0.00268526,0.00270555
7.22663,9.2,10.2,3.29966e+09,1.83867e+08,1.97132e+08,0.883715,0.00300957,0.00297395
7.22663,9.3,10.3,4.08951e+09,2.73536e+08,2.94386e+08,0.885606,0.0032035,0.00321388
7.22663,9.4,10.4,5.16632e+09,4.04729e+08,4.44716e+08,0.887321,0.00374882,0.00377706
7.22663,9.5,10.5,6.36039e+09,5.67885e+08,6.33549e+08,0.887881,0.004361,0.00438112
7.22663,9.6,10.6,8.46839e+09,9.58376e+08,1.09828e+09,0.888207,0.00505974,0.00508872
7.22663,9.7,10.7,1.05535e+10,1.27572e+09,1.44981e+09,0.888323,0.00577041,0.00587964
7.22663,9.8,10.8,1.29008e+10,1.80886e+09,2.19886e+09,0.887247,0.00658021,0.0068308
7.22663,9.9,10.9,1.54647e+10,2.26102e+09,2.79577e+09,0.886854,0.00853492,0.00880085
7.22663,10,11,2.09427e+10,4.17864e+09,5.99858e+09,0.885358,0.00992132,0.00968161
7.22663,10.1,11.1,2.73604e+10,7.62964e+09,1.11165e+10,0.886492,0.0114529,0.0106655
7.22663,10.2,11.2,3.34241e+10,1.04675e+10,1.49291e+10,0.884681,0.0153098,0.0143455
7.22663,10.3,11.3,4.49089e+10,1.56286e+10,2.14005e+10,0.888074,0.0148431,0.0167635
7.22663,10.4,11.4,5.48969e+10,2.00434e+10,2.57106e+10,0.883465,0.0155636,0.0204604
7.22663,10.5,11.5,5.91187e+10,2.25512e+10,2.88666e+10,0.88609,0.0194072,0.0224139
7.31056,7.5,8.5,8.55988e+07,599522,598171,0.583974,0.00126467,0.001268
7.31056,7.6,8.6,1.0557e+08,807203,812160,0.614309,0.00136158,0.00136538
7.31056,7.7,8.7,1.30039e+08,1.11289e+06,1.11685e+06,0.645476,0.00143342,0.00144153
7.31056,7.8,8.8,1.61398e+08,1.5285e+06,1.532e+06,0.67797,0.00150232,0.00149024
7.31056,7.9,8.9,2.01955e+08,2.13273e+06,2.15557e+06,0.710723,0.00156214,0.00154919
7.31056,8,9,2.4998e+08,2.94882e+06,3.01702e+06,0.738754,0.00157964,0.00158227
7.31056,8.1,9.1,3.12394e+08,4.20289e+06,4.23847e+06,0.765024,0.00161199,0.00160293
7.31056,8.2,9.2,3.90619e+08,5.8962e+06,6.02922e+06,0.787996,0.00164617,0.00163926
7.31056,8.3,9.3,4.89585e+08,8.42834e+06,8.60516e+06,0.807582,0.00167915,0.00168914
7.31056,8.4,9.4,6.10967e+08,1.17549e+07,1.20439e+07,0.823758,0.00175828,0.0017496
7.31056,8.5,9.5,7.68116e+08,1.6878e+07,1.73093e+07,0.838518,0.001795,0.00179796
7.31056,8.6,9.6,9.51078e+08,2.36508e+07,2.38812e+07,0.850129,0.00184742,0.00184798
7.31056,8.7,9.7,1.17697e+09,3.22379e+07,3.32378e+07,0.859351,0.00198145,0.00195432
7.31056,8.8,9.8,1.44668e+09,4.51659e+07,4.61709e+07,0.867314,0.00207007,0.00207402
7.31056,8.9,9.9,1.75952e+09,6.08066e+07,6.33998e+07,0.872073,0.00229132,0.00228388
7.31056,9,10,2.14642e+09,8.63025e+07,9.05684e+07,0.876351,0.00253509,0.00252664
7.31056,9.1,10.1,2.60871e+09,1.20466e+08,1.27048e+08,0.880518,0.00283285,0.00283937
7.31056,9.2,10.2,3.26742e+09,1.82607e+08,1.9881e+08,0.883358,0.00315024,0.00313828
7.31056,9.3,10.3,4.11312e+09,2.85574e+08,3.09101e+08,0.885571,0.00346001,0.00348426
7.31056,9.4,10.4,5.10379e+09,4.07298e+08,4.47455e+08,0.887058,0.00396896,0.00401052
7.31056,9.5,10.5,6.53265e+09,6.29444e+08,7.08928e+08,0.889486,0.00477236,0.00477027
7.31056,9.6,10.6,8.34348e+09,9.57972e+08,1.09727e+09,0.888275,0.00569008,0.00579896
7.31056,9.7,10.7,1.05931e+10,1.44231e+09,1.72938e+09,0.888915,0.00656568,0.00671327
7.31056,9.8,10.8,1.29418e+10,1.87325e+09,2.29262e+09,0.887293,0.00821753,0.00856294
7.31056,9.9,10.9,1.5295e+10,2.30569e+09,2.82661e+09,0.885609,0.00927187,0.00957399
7.31056,10,11,2.08842e+10,4.25696e+09,6.15905e+09,0.88752,0.0101826,0.010169
7.31056,10.1,11.1,2.69465e+10,7.63667e+09,1.10726e+10,0.887157,0.0112705,0.0111474
7.31056,10.2,11.2,3.32879e+10,1.06315e+10,1.50262e+10,0.891049,0.0158521,0.0148919
7.31056,10.3,11.3,4.60164e+10,1.64558e+10,2.19841e+10,0.889875,0.017971,0.0207087
7.31056,10.4,11.4,5.30235e+10,1.93633e+10,2.47089e+10,0.888233,0.0175251,0.021081
7.31056,10.5,11.5,6.2939e+10,2.59669e+10,2.93652e+10,0.881793,0.0151272,0.0224992
7.39667,7.5,8.5,8.53229e+07,602657,604296,0.583987,0.001276,0.00125683
7.39667,7.6,8.6,1.05603e+08,820986,827847,0.614366,0.00136547,0.00136471
7.39667,7.7,8.7,1.2964e+08,1.11433e+06,1.12543e+06,0.645135,0.0014462,0.00145071
7.39667,7.8,8.8,1.61372e+08,1.54549e+06,1.56116e+06,0.678159,0.001504,0.00151222
7.39667,7.9,8.9,2.01362e+08,2.15933e+06,2.18877e+06,0.710256,0.00155752,0.00157208
7.39667,8,9,2.4935e+08,2.99547e+06,3.03485e+06,0.737969,0.00161357,0.00161431
7.39667,8.1,9.1,3.12468e+08,4.28174e+06,4.3326e+06,0.764752,0.00164448,0.00163934
7.39667,8.2,9.2,3.90428e+08,5.96272e+06,6.0576e+06,0.78804,0.00168788,0.00166188
7.39667,8.3,9.3,4.88032e+08,8.53519e+06,8.61023e+06,0.807894,0.00172868,0.0017286
7.39667,8.4,9.4,6.07905e+08,1.19057e+07,1.19677e+07,0.824387,0.00179297,0.00176321
7.39667,8.5,9.5,7.61251e+08,1.68051e+07,1.72546e+07,0.838922,0.00186118,0.00182435
7.39667,8.6,9.6,9.45392e+08,2.32836e+07,2.38786e+07,0.851003,0.00191788,0.00190865
7.39667,8.7,9.7,1.16567e+09,3.22968e+07,3.34417e+07,0.85969,0.0020327,0.00201019
7.39667,8.8,9.8,1.43831e+09,4.52165e+07,4.68697e+07,0.867944,0.0021332,0.00211612
7.39667,8.9,9.9,1.74969e+09,6.22048e+07,6.53273e+07,0.872319,0.00235785,0.0023448
7.39667,9,10,2.13061e+09,8.61826e+07,9.13435e+07,0.876192,0.00259005,0.00258148
7.39667,9.1,10.1,2.62671e+09,1.24508e+08,1.33357e+08,0.88168,0.00289845,0.00290248
7.39667,9.2,10.2,3.27988e+09,1.92916e+08,2.11508e+08,0.884009,0.00328062,0.00326168
7.39667,9.3,10.3,4.11143e+09,2.88493e+08,3.15107e+08,0.885011,0.00360376,0.00364177
7.39667,9.4,10.4,5.05989e+09,4.09471e+08,4.48603e+08,0.885665,0.00411277,0.00413182
7.39667,9.5,10.5,6.47007e+09,6.26343e+08,7.03874e+08,0.887866,0.00493969,0.00505592
7.39667,9.6,10.6,8.16041e+09,9.4067e+08,1.08304e+09,0.887549,0.00584551,0.00598994
7.39667,9.7,10.7,1.04929e+10,1.44496e+09,1.73578e+09,0.889367,0.00685955,0.00711118
7.39667,9.8,10.8,1.29608e+10,1.88996e+09,2.29964e+09,0.888844,0.00870088,0.00913986
7.39667,9.9,10.9,1.52925e+10,2.33209e+09,2.87566e+09,0.886286,0.0100349,0.0100921
7.39667,10,11,2.01416e+10,4.11277e+09,6.08028e+09,0.887615,0.0113361,0.0111609
7.39667,10.1,11.1,2.66096e+10,7.62481e+09,1.09655e+10,0.887364,0.0131083,0.0127356
7.39667,10.2,11.2,3.45458e+10,1.15312e+10,1.60806e+10,0.888507,0.0192826,0.0177804
7.39667,10.3,11.3,4.42635e+10,1.57604e+10,2.13515e+10,0.889406,0.0194462,0.0220805
7.39667,10.4,11.4,5.11704e+10,1.86325e+10,2.40909e+10,0.888796,0.0212939,0.0250431
7.39667,10.5,11.5,6.1041e+10,2.50027e+10,2.81611e+10,0.881249,0.0196534,0.0256626
7.48504,7.5,8.5,8.51245e+07,605765,601691,0.584599,0.00128107,0.00127495
7.48504,7.6,8.6,1.05603e+08,828983,834728,0.61513,0.00136913,0.00138593
7.48504,7.7,8.7,1.29672e+08,1.11441e+06,1.13648e+06,0.645571,0.00144986,0.00145442
7.48504,7.8,8.8,1.60572e+08,1.53839e+06,1.56221e+06,0.67804,0.00152962,0.00151322
7.48504,7.9,8.9,2.0061e+08,2.16305e+06,2.18492e+06,0.710119,0.0015724,0.00158936
7.48504,8,9,2.49065e+08,3.02312e+06,3.0605e+06,0.738614,0.00161331,0.00162296
7.48504,8.1,9.1,3.11728e+08,4.32216e+06,4.3677e+06,0.764773,0.00166023,0.0016574
7.48504,8.2,9.2,3.91544e+08,6.05616e+06,6.17303e+06,0.788196,0.00171519,0.00170725
7.48504,8.3,9.3,4.88533e+08,8.61984e+06,8.74606e+06,0.808079,0.00175139,0.00174949
7.48504,8.4,9.4,6.09637e+08,1.21122e+07,1.22493e+07,0.825332,0.00178592,0.0017934
7.48504,8.5,9.5,7.61325e+08,1.71726e+07,1.75085e+07,0.839003,0.00187678,0.00187372
7.48504,8.6,9.6,9.46698e+08,2.37389e+07,2.43713e+07,0.85128,0.00195687,0.00193859
7.48504,8.7,9.7,1.1645e+09,3.27666e+07,3.37239e+07,0.860329,0.00204595,0.00201721
7.48504,8.8,9.8,1.4228e+09,4.55931e+07,4.68935e+07,0.867843,0.00218512,0.00216188
7.48504,8.9,9.9,1.7313e+09,6.30015e+07,6.56703e+07,0.872461,0.00236503,0.00236091
7.48504,9,10,2.09314e+09,8.45179e+07,8.98974e+07,0.875948,0.00264741,0.00261185
7.48504,9.1,10.1,2.59075e+09,1.24089e+08,1.32337e+08,0.880374,0.00296711,0.00294839
7.48504,9.2,10.2,3.266e+09,1.95234e+08,2.12346e+08,0.883719,0.00325564,0.00323023
7.48504,9.3,10.3,4.12847e+09,2.99296e+08,3.29569e+08,0.884673,0.00364412,0.0036534
7.48504,9.4,10.4,5.06739e+09,4.14105e+08,4.56246e+08,0.88445,0.00425332,0.00428615
7.48504,9.5,10.5,6.49451e+09,6.38362e+08,7.30533e+08,0.885893,0.00516638,0.0052352
7.48504,9.6,10.6,8.25182e+09,9.79428e+08,1.12994e+09,0.88548,0.00613682,0.00627153
7.48504,9.7,10.7,1.0636e+10,1.49761e+09,1.7857e+09,0.886774,0.00704019,0.00719867
7.48504,9.8,10.8,1.29435e+10,1.91795e+09,2.33687e+09,0.884318,0.008387,0.00838415
7.48504,9.9,10.9,1.70719e+10,3.4258e+09,4.83492e+09,0.880782,0.0102612,0.00997167
7.48504,10,11,1.94068e+10,4.01653e+09,5.74345e+09,0.886348,0.0113201,0.0107139
7.48504,10.1,11.1,2.63489e+10,7.68956e+09,1.09913e+10,0.884959,0.0134003,0.012088
7.48504,10.2,11.2,3.32734e+10,1.10195e+10,1.55478e+10,0.887174,0.0192168,0.0155442
7.48504,10.3,11.3,4.58889e+10,1.65868e+10,2.18504e+10,0.886427,0.0170505,0.0185775
7.48504,10.4,11.4,4.94601e+10,1.79818e+10,2.32307e+10,0.890704,0.0182737,0.01856
7.48504,10.5,11.5,5.90336e+10,2.40571e+10,2.71368e+10,0.884686,0.0183489,0.0191292
7.57576,7.5,8.5,8.51998e+07,604897,614769,0.584949,0.00127887,0.00128766
7.57576,7.6,8.6,1.05223e+08,830836,838591,0.614817,0.00138499,0.00137977
7.57576,7.7,8.7,1.29452e+08,1.12742e+06,1.14401e+06,0.645474,0.00147289,0.00146615
7.57576,7.8,8.8,1.60213e+08,1.56262e+06,1.57017e+06,0.677997,0.0015266,0.00153431
7.57576,7.9,8.9,2.00468e+08,2.18266e+06,2.22035e+06,0.710105,0.00157886,0.00158949
7.57576,8,9,2.47775e+08,3.02639e+06,3.07293e+06,0.738275,0.00163026,0.00162861
7.57576,8.1,9.1,3.11494e+08,4.3378e+06,4.39382e+06,0.764574,0.00166729,0.00167144
7.57576,8.2,9.2,3.89197e+08,6.07065e+06,6.18554e+06,0.787323,0.00173929,0.00172899
7.57576,8.3,9.3,4.86486e+08,8.65194e+06,8.78993e+06,0.807422,0.00178204,0.00176364
7.57576,8.4,9.4,6.10257e+08,1.22968e+07,1.25496e+07,0.824809,0.00182861,0.00182439
7.57576,8.5,9.5,7.58551e+08,1.71618e+07,1.76665e+07,0.838844,0.00194346,0.00192457
7.57576,8.6,9.6,9.40669e+08,2.41685e+07,2.45825e+07,0.851268,0.00195906,0.00195897
7.57576,8.7,9.7,1.15685e+09,3.28185e+07,3.39642e+07,0.860268,0.00211883,0.00210821
7.57576,8.8,9.8,1.40242e+09,4.45945e+07,4.66929e+07,0.867328,0.00227314,0.00225222
7.57576,8.9,9.9,1.72371e+09,6.40676e+07,6.66558e+07,0.872082,0.00243201,0.00244202
7.57576,9,10,2.0912e+09,8.86667e+07,9.39717e+07,0.876089,0.00264302,0.00264994
7.57576,9.1,10.1,2.60047e+09,1.29504e+08,1.40135e+08,0.881103,0.0030361,0.00301052
7.57576,9.2,10.2,3.33365e+09,2.13206e+08,2.31281e+08,0.883336,0.00328779,0.00328898
7.57576,9.3,10.3,4.13825e+09,3.05864e+08,3.29836e+08,0.884605,0.00377219,0.0038051
7.57576,9.4,10.4,5.12758e+09,4.23978e+08,4.63806e+08,0.885013,0.00451222,0.00453793
7.57576,9.5,10.5,6.6535e+09,6.91481e+08,7.85139e+08,0.88496,0.00540574,0.00540466
7.57576,9.6,10.6,8.3963e+09,9.90873e+08,1.13912e+09,0.884768,0.00641181,0.00646943
7.57576,9.7,10.7,1.05422e+10,1.45517e+09,1.76112e+09,0.888029,0.00720339,0.00727468
7.57576,9.8,10.8,1.24953e+10,1.78955e+09,2.21488e+09,0.886146,0.00834495,0.00806448
7.57576,9.9,10.9,1.65727e+10,3.27247e+09,4.66318e+09,0.883559,0.0104359,0.00981421
7.57576,10,11,1.94214e+10,4.04853e+09,5.94834e+09,0.888843,0.0124219,0.0110716
7.57576,10.1,11.1,2.59934e+10,7.70118e+09,1.10333e+10,0.887438,0.0146846,0.012346
7.57576,10.2,11.2,3.66305e+10,1.27958e+10,1.77322e+10,0.884641,0.0250664,0.0200611
7.57576,10.3,11.3,4.42396e+10,1.59084e+10,2.11685e+10,0.888814,0.0169815,0.0185406
7.57576,10.4,11.4,4.77768e+10,1.73567e+10,2.23101e+10,0.893268,0.017865,0.0184696
7.57576,10.5,11.5,6.37076e+10,2.53601e+10,2.53601e+10,0.877396,0.0160359,0.0142699
7.66894,7.5,8.5,8.51603e+07,611595,620641,0.585258,0.00130296,0.00128647
7.66894,7.6,8.6,1.04743e+08,835605,838506,0.614743,0.00139623,0.00138574
7.66894,7.7,8.7,1.28824e+08,1.13539e+06,1.14342e+06,0.645545,0.00146314,0.0014699
7.66894,7.8,8.8,1.60188e+08,1.57823e+06,1.59216e+06,0.677584,0.0015433,0.00154578
7.66894,7.9,8.9,1.99883e+08,2.20919e+06,2.2197e+06,0.709899,0.00163202,0.00162587
7.66894,8,9,2.48707e+08,3.13673e+06,3.15732e+06,0.738181,0.00165665,0.00165258
7.66894,8.1,9.1,3.11414e+08,4.40622e+06,4.41726e+06,0.764537,0.00170699,0.00170959
7.66894,8.2,9.2,3.87493e+08,6.17779e+06,6.17034e+06,0.787408,0.00175046,0.00173611
7.66894,8.3,9.3,4.86767e+08,8.7961e+06,8.85827e+06,0.807836,0.00179733,0.00178772
7.66894,8.4,9.4,6.11184e+08,1.24295e+07,1.275e+07,0.8251,0.00186881,0.00185962
7.66894,8.5,9.5,7.5597e+08,1.72066e+07,1.74793e+07,0.839065,0.00193797,0.00192239
7.66894,8.6,9.6,9.31166e+08,2.39758e+07,2.44188e+07,0.850626,0.00203964,0.0020242
7.66894,8.7,9.7,1.1385e+09,3.28107e+07,3.36223e+07,0.860186,0.00219686,0.00214928
7.66894,8.8,9.8,1.40236e+09,4.60401e+07,4.75834e+07,0.867837,0.00228647,0.00228362
7.66894,8.9,9.9,1.6925e+09,6.40311e+07,6.66613e+07,0.872232,0.00248569,0.00244953
7.66894,9,10,2.10787e+09,9.20885e+07,9.82714e+07,0.876289,0.00281559,0.00278985
7.66894,9.1,10.1,2.57709e+09,1.31255e+08,1.40675e+08,0.881227,0.00313856,0.00313894
7.66894,9.2,10.2,3.30004e+09,2.15943e+08,2.35405e+08,0.882778,0.00345822,0.00345033
7.66894,9.3,10.3,4.11084e+09,3.07004e+08,3.3171e+08,0.884093,0.00394753,0.00395627
7.66894,9.4,10.4,5.10764e+09,4.23927e+08,4.64516e+08,0.884966,0.00450473,0.00452038
7.66894,9.5,10.5,6.53126e+09,6.77997e+08,7.74314e+08,0.886618,0.00543884,0.00546
7.66894,9.6,10.6,8.35056e+09,9.96644e+08,1.14694e+09,0.884108,0.00633671,0.00648713
7.66894,9.7,10.7,1.03546e+10,1.43139e+09,1.74416e+09,0.885748,0.00672391,0.00667839
7.66894,9.8,10.8,1.24746e+10,1.83327e+09,2.24597e+09,0.885398,0.00814314,0.0079679
7.66894,9.9,10.9,1.61165e+10,3.24099e+09,4.66861e+09,0.882982,0.00982492,0.00931058
7.66894,10,11,2.24006e+10,6.25944e+09,8.93647e+09,0.885089,0.0118404,0.0108046
7.66894,10.1,11.1,2.57027e+10,7.79441e+09,1.1057e+10,0.885056,0.0143797,0.012671
7.66894,10.2,11.2,3.74546e+10,1.34198e+10,1.81258e+10,0.895142,0.0150528,0.0154375
7.66894,10.3,11.3,4.28764e+10,1.55499e+10,2.03031e+10,0.890865,0.0166622,0.0189404
7.66894,10.4,11.4,4.62935e+10,1.68828e+10,2.16484e+10,0.895153,0.0176182,0.0195001
7.66894,10.5,11.5,6.17241e+10,2.45877e+10,2.45877e+10,0.877724,0.0108866,0.0131565
7.76469,7.5,8.5,8.4955e+07,618447,617867,0.585632,0.00129732,0.00128887
7.76469,7.6,8.6,1.04555e+08,832556,840853,0.615015,0.00138375,0.00138988
7.76469,7.7,8.7,1.28721e+08,1.154e+06,1.16032e+06,0.645005,0.00148071,0.00148064
7.76469,7.8,8.8,1.59743e+08,1.58473e+06,1.60234e+06,0.677303,0.00155993,0.00156857
7.76469,7.9,8.9,1.98808e+08,2.19047e+06,2.20683e+06,0.709038,0.00161177,0.00163404
7.76469,8,9,2.46784e+08,3.09539e+06,3.14933e+06,0.736922,0.00167638,0.00166184
7.76469,8.1,9.1,3.09846e+08,4.40422e+06,4.46762e+06,0.764072,0.00171731,0.00172465
7.76469,8.2,9.2,3.85887e+08,6.19092e+06,6.30409e+06,0.786645,0.00179921,0.00177945
7.76469,8.3,9.3,4.83975e+08,8.87249e+06,8.96151e+06,0.807009,0.00183228,0.0018256
7.76469,8.4,9.4,6.02082e+08,1.22685e+07,1.26035e+07,0.824408,0.00190271,0.00189632
7.76469,8.5,9.5,7.48615e+08,1.72662e+07,1.76285e+07,0.838516,0.00195829,0.00196231
7.76469,8.6,9.6,9.19381e+08,2.38397e+07,2.43709e+07,0.850135,0.00205701,0.00203441
7.76469,8.7,9.7,1.13928e+09,3.37362e+07,3.44231e+07,0.860261,0.0021898,0.00217676
7.76469,8.8,9.8,1.39131e+09,4.62082e+07,4.82366e+07,0.86707,0.00234956,0.00233869
7.76469,8.9,9.9,1.70082e+09,6.66368e+07,7.0218e+07,0.87167,0.00253852,0.00250785
7.76469,9,10,2.0579e+09,8.93011e+07,9.4871e+07,0.875984,0.00289382,0.00287224
7.76469,9.1,10.1,2.5842e+09,1.41061e+08,1.51806e+08,0.880304,0.00326261,0.00323559
7.76469,9.2,10.2,3.30206e+09,2.24679e+08,2.42768e+08,0.883451,0.00349497,0.00350089
7.76469,9.3,10.3,4.13159e+09,3.19563e+08,3.51947e+08,0.885214,0.00405947,0.00410752
7.76469,9.4,10.4,4.95149e+09,4.13358e+08,4.57138e+08,0.885357,0.00466172,0.00478105
7.76469,9.5,10.5,6.6934e+09,7.53543e+08,8.62469e+08,0.886159,0.00532622,0.00545699
7.76469,9.6,10.6,8.18267e+09,9.82185e+08,1.151e+09,0.886083,0.00629509,0.00624206
7.76469,9.7,10.7,1.03912e+10,1.46446e+09,1.76648e+09,0.887403,0.00707653,0.00698644
7.76469,9.8,10.8,1.2372e+10,1.81162e+09,2.24548e+09,0.888025,0.00896461,0.00870535
7.76469,9.9,10.9,1.70627e+10,3.52055e+09,5.12663e+09,0.887269,0.0115637,0.0105802
7.76469,10,11,2.11176e+10,5.86899e+09,8.48677e+09,0.888995,0.0121091,0.0108552
7.76469,10.1,11.1,2.69328e+10,8.66121e+09,1.23181e+10,0.88943,0.0168069,0.0137772
7.76469,10.2,11.2,3.84558e+10,1.39675e+10,1.86837e+10,0.89633,0.0164491,0.0155634
7.76469,10.3,11.3,4.45186e+10,1.62745e+10,2.13715e+10,0.89888,0.0176977,0.016356
7.76469,10.4,11.4,4.44482e+10,1.61957e+10,2.13593e+10,0.898859,0.0176766,0.016377
7.76469,10.5,11.5,6.92193e+10,2.86109e+10,2.70318e+10,0.886764,0.0262165,0.0321729
7.86312,7.5,8.5,8.47455e+07,624266,619853,0.586235,0.00131193,0.00129447
7.86312,7.6,8.6,1.04454e+08,847194,848219,0.615153,0.00140878,0.00141322
7.86312,7.7,8.7,1.28497e+08,1.1632e+06,1.17802e+06,0.645308,0.00149302,0.00148915
7.86312,7.8,8.8,1.5934e+08,1.59957e+06,1.62158e+06,0.677322,0.00156688,0.0015645
7.86312,7.9,8.9,1.98457e+08,2.22782e+06,2.2426e+06,0.709143,0.00165177,0.00162567
7.86312,8,9,2.4651e+08,3.13158e+06,3.18468e+06,0.737494,0.00170311,0.00167563
7.86312,8.1,9.1,3.09335e+08,4.47733e+06,4.53793e+06,0.763424,0.00177269,0.00175466
7.86312,8.2,9.2,3.85301e+08,6.27547e+06,6.31363e+06,0.78751,0.00179239,0.00178855
7.86312,8.3,9.3,4.82247e+08,8.85873e+06,9.02636e+06,0.807296,0.00185399,0.00183905
7.86312,8.4,9.4,6.03753e+08,1.25539e+07,1.27913e+07,0.824839,0.00190945,0.00191989
7.86312,8.5,9.5,7.43896e+08,1.73974e+07,1.77176e+07,0.83863,0.00201863,0.00200236
7.86312,8.6,9.6,9.134e+08,2.38672e+07,2.4587e+07,0.850352,0.00209735,0.00207596
7.86312,8.7,9.7,1.12333e+09,3.28279e+07,3.40493e+07,0.860211,0.00224476,0.00223416
7.86312,8.8,9.8,1.37093e+09,4.58744e+07,4.7651e+07,0.86679,0.00240601,0.0023882
7.86312,8.9,9.9,1.66357e+09,6.43286e+07,6.76787e+07,0.871573,0.00253206,0.0025484
7.86312,9,10,2.03734e+09,9.19172e+07,9.70453e+07,0.875775,0.00292297,0.00293441
7.86312,9.1,10.1,2.56967e+09,1.42674e+08,1.54677e+08,0.879821,0.0034011,0.00337064
7.86312,9.2,10.2,3.24382e+09,2.26217e+08,2.46992e+08,0.883576,0.00357939,0.00358503
7.86312,9.3,10.3,4.06185e+09,3.23203e+08,3.56299e+08,0.883768,0.0042231,0.00419012
7.86312,9.4,10.4,5.25987e+09,5.26529e+08,6.01003e+08,0.886433,0.00492616,0.00490379
